City,Place,Lattitude(N),Longitude(E)
Hyderabad,Charminar,17.3616,78.4747
Hyderabad,Hussain Sagar Lake,17.4239,78.4738
Hyderabad,GravityZip,17.39024075,78.32544265
Hyderabad,Chowmahalla Palace,17.35807929,78.47165751
Hyderabad,Golkonda Fort,17.38388525,78.40093145
Hyderabad,Thrill City,17.43576854,78.47449553
Hyderabad,Shilparamam,17.45371927,78.37868119
Hyderabad,Birla Mandir,17.40647215,78.46907082
Hyderabad,Taramati Baradari,17.37656741,78.37896255
Hyderabad,Jala Vihar,17.43302724,78.46470941
Hyderabad,Snow world,17.38526878,78.486618
Hyderabad,Salar Jung Museum,17.37173537,78.4802413
Hyderabad,Nehru Zoological Park,17.35107996,78.45145604
Hyderabad,Qutub Shahi Tombs,17.39764701,78.40006045
Hyderabad,KBR National Park,17.41880633,78.41563578
Hyderabad,Lumbini Park,17.409834644,78.47242367
Hyderabad,Laad Bazaar,17.36257265,78.47348361
Hyderabad,Inorbit Mall,17.4339964,78.38692041
Hyderabad,IKEA Hyderabad,17.43928324,78.375448
Hyderabad,B.M. Birla Planetarium and Science & Technological Museum,17.40367595,78.47073914
Hyderabad,Sarath City Mall,17.45775894,78.36398148
Hyderabad,Durgam Cheruvu Bride,17.43187099,78.38987023
Hyderabad,Hyderabad Botanical Garden,17.45570901,78.36029812
Hyderabad,Taj Falaknuma Palace,17.33166353,78.46749688
Hyderabad,Necklace Road,17.42375081,78.4630038
Hyderabad,NTR Gardens,17.41330236,78.46978628
Hyderabad,Shilparamam Uppal,17.38339047,78.55661974
Hyderabad,Chilkur Balaji Temple,17.35891887,78.29887514
Hyderabad,Iskcon temple,17.39536049,78.47806116
Hyderabad,Tank Bund,17.42414618,78.47447363
Hyderabad,Forum Sujana Mall,17.48456251,78.38957817
Hyderabad,Sanjeevaiah Park,17.43230507,78.47543032
Hyderabad,Mecca Masjid,17.36070783,78.47392525
Hyderabad,Sudha Cars Museum,17.35730243,78.45465583
Hyderabad,Purani Haveli,17.36663267,78.48272948
Hyderabad,Paigah Tombs,17.34415638,78.50486477
Hyderabad,GVK One Mall,17.41884313,78.44922124
Hyderabad,Himayat Sagar Lake,17.33291705,78.35069282
